(   50 ,  200 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  200 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(  100 ,  200 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  100 ,  200 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  150 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  100 ,  100 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,   50 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  200 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  150 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(    0 ,  150 ),(  100 ,    0 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,  350 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  150 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  100 ,  300 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
(   50 ,  150 ),(  200 ,  250 ),  0 ,  0 ,  0         0.0     0.0     0.0     0.0
